react_name,canonical_smiles,raw_energy,relative_energy,normalize_energy
C73693,C=C1[C@@H](C)[C+](C)[C@@H](C)[C@@H]1C,-390.8161707339655,-10.996800062330957,0.4316468674334245
C52854,C=C1[C@H](C)[C+](C)[C@H](C)[C@H]1C,-390.81616983826666,-10.996238002786626,0.4316542007285806
C82065,CC[C@@H]1CC2CC(C2)[C+]1C,-390.816160341412,-10.99027863626791,0.4317319536892155
C31830,C=C1[C@H](C)[CH+][C@H](C)C[C@H]1C,-390.81615078954906,-10.984284751527197,0.4318101570154971
C79727,CC[C@H]1CC2CC(C2)[C+]1C,-390.81614478745337,-10.980518379463057,0.431859297570608
C4061,C=C(C)[C@H]1CC[C@H](C)[C+]1C,-390.8161436080535,-10.97977829483797,0.4318689535920224
C2788,C=C(C)[C@@H]1CC[C@@H](C)[C+]1C,-390.8161434528948,-10.97968093126961,0.431870223912563
C63199,CC[C@@H]1C[C@@H]2CC[C+](C)[C@@H]21,-390.8161408121505,-10.978023839135052,0.4318918443010895
C59719,CC[C@@]1(C)C=CCC[C+]1C,-390.81614078390896,-10.978006117315598,0.4318920755209561
C94998,CC[C+](C)[C@@H]1CC=CCC1,-390.816140692502,-10.977948758588608,0.431892823890909
C60014,CC[C@H]1C[C@H]2CC[C+](C)[C@@H]12,-390.81613694697137,-10.975598402524255,0.4319234894225516
C74776,C=CC[C@@H]1CCC[C+](C)C1,-390.8161368498137,-10.975537435156426,0.4319242848751112
C75702,CCC=C1CC[C+](C)CC1,-390.81613642974594,-10.975273838652988,0.4319277240675977
C50010,C/C=C1\[C@@H](C)[C+](C)C[C@H]1C,-390.8161319901459,-10.972487947446924,0.4319640721070408
C50057,C/C=C1/[C@@H](C)C[C+](C)[C@H]1C,-390.816131839725,-10.972393556919505,0.4319653036377647
C38079,C[C@H]1C[C@@H]2C[CH+]C[C@]2(C)C1,-390.816112016504,-10.959954297415395,0.4321276009644206
C35992,C[C@@H]1C[C@H]2C[CH+]C[C@@]2(C)C1,-390.8161114645046,-10.959607912552938,0.4321321203119872
C76958,CCCC[C+]1CC=C(C)C1,-390.8161090708443,-10.95810586795083,0.4321517177665914
C34001,C[C@H]1C[C@@H]2[CH+][C@H](C1)[C@@H](C)C2,-390.8161059902628,-10.956172773825196,0.4321769392043032
C34748,C[C@H]1C[C@@H]2[CH+][C@H](C1)C[C@H]2C,-390.8161059796042,-10.956166085419412,0.4321770264691744
C54487,C/C=C1/C[C+](CC)C[C@@H]1C,-390.81609854391695,-10.951500121047776,0.4322379041720262
C95348,CC[C@H]1CC[CH+]C=C[C@H]1C,-390.8160960772765,-10.949952280721655,0.4322580991319382
C100047,C/C=C/CC[C+]1CCCC1,-390.8160960154347,-10.949913474420743,0.432258605444946
C90750,CC[C@H]1CCC=C[CH+][C@H]1C,-390.816095633047,-10.949673522490595,0.4322617361422979
C97377,CC[C@@H]1CC[CH+]C=C[C@@H]1C,-390.8160948824502,-10.949202515887544,0.4322678814528357
C91105,C/C=C(/C)C[C+]1CCCC1,-390.81609258587537,-10.94776139335264,0.4322866840459258
